51.8337 	EXP 	grating: autoDraw = True
52.1334 	EXP 	grating: autoDraw = False
52.4366 	DATA 	Keypress: left
52.4499 	EXP 	fixation: autoDraw = False
52.4499 	EXP 	grating: autoDraw = False
52.4499 	EXP 	grating: ori = 4.5
52.4499 	EXP 	fixation: autoDraw = True
52.9495 	INFO 	Keyboard events cleared
52.9490 	EXP 	fixation: autoDraw = False
52.9490 	EXP 	grating: autoDraw = True
53.2487 	EXP 	grating: autoDraw = False
53.3514 	DATA 	Keypress: right
53.3658 	EXP 	fixation: autoDraw = False
53.3658 	EXP 	grating: autoDraw = False
53.3658 	EXP 	grating: ori = -4.5
53.3658 	EXP 	fixation: autoDraw = True
53.8654 	INFO 	Keyboard events cleared
53.8649 	EXP 	grating: autoDraw = True
53.8819 	EXP 	fixation: autoDraw = False
54.1646 	EXP 	grating: autoDraw = False
54.2337 	DATA 	Keypress: left
54.2485 	EXP 	fixation: autoDraw = False
54.2485 	EXP 	grating: autoDraw = False
54.2485 	EXP 	grating: ori = 4.0
54.2485 	EXP 	fixation: autoDraw = True
54.7479 	INFO 	Keyboard events cleared
54.7474 	EXP 	fixation: autoDraw = False
54.7474 	EXP 	grating: autoDraw = True
55.0475 	EXP 	grating: autoDraw = False
55.0826 	DATA 	Keypress: right
55.0975 	EXP 	fixation: autoDraw = False
55.0975 	EXP 	grating: autoDraw = False
55.0975 	EXP 	grating: ori = -4.0
55.0975 	EXP 	fixation: autoDraw = True
55.5977 	INFO 	Keyboard events cleared
55.5972 	EXP 	fixation: autoDraw = False
55.5972 	EXP 	grating: autoDraw = True
55.8974 	EXP 	grating: autoDraw = False
56.0159 	DATA 	Keypress: left
56.0303 	EXP 	fixation: autoDraw = False
56.0303 	EXP 	grating: autoDraw = False
56.0303 	EXP 	grating: ori = -4.0
56.0303 	EXP 	fixation: autoDraw = True
56.5297 	INFO 	Keyboard events cleared
56.5294 	EXP 	fixation: autoDraw = False
56.5294 	EXP 	grating: autoDraw = True
56.8293 	EXP 	grating: autoDraw = False
56.8816 	DATA 	Keypress: right
56.8959 	EXP 	fixation: autoDraw = False
56.8959 	EXP 	grating: autoDraw = False
56.8959 	EXP 	grating: ori = 4.5
56.8959 	EXP 	fixation: autoDraw = True
57.3796 	INFO 	Keyboard events cleared
57.3791 	EXP 	grating: autoDraw = True
57.3963 	EXP 	fixation: autoDraw = False
57.6788 	EXP 	grating: autoDraw = False
58.0475 	DATA 	Keypress: right
58.0619 	EXP 	fixation: autoDraw = False
58.0619 	EXP 	grating: autoDraw = False
58.0619 	EXP 	grating: ori = 4.5
58.0619 	EXP 	fixation: autoDraw = True
58.5619 	INFO 	Keyboard events cleared
58.5613 	EXP 	fixation: autoDraw = False
58.5613 	EXP 	grating: autoDraw = True
58.8609 	EXP 	grating: autoDraw = False
58.9964 	DATA 	Keypress: right
59.0102 	EXP 	fixation: autoDraw = False
59.0102 	EXP 	grating: autoDraw = False
59.0102 	EXP 	grating: ori = 4.5
59.0102 	EXP 	fixation: autoDraw = True
59.5113 	INFO 	Keyboard events cleared
59.5107 	EXP 	fixation: autoDraw = False
59.5107 	EXP 	grating: autoDraw = True
59.8272 	EXP 	grating: autoDraw = False
59.8797 	DATA 	Keypress: right
59.8940 	EXP 	fixation: autoDraw = False
59.8940 	EXP 	grating: autoDraw = False
59.8940 	EXP 	grating: ori = 4.0
59.8940 	EXP 	fixation: autoDraw = True
60.3937 	INFO 	Keyboard events cleared
60.3929 	EXP 	fixation: autoDraw = False
60.3929 	EXP 	grating: autoDraw = True
60.6791 	DATA 	Keypress: right
60.6931 	EXP 	grating: autoDraw = False
60.6931 	EXP 	fixation: autoDraw = False
60.6931 	EXP 	grating: autoDraw = False
60.6931 	EXP 	grating: ori = 4.0
60.6931 	EXP 	fixation: autoDraw = True
61.1933 	INFO 	Keyboard events cleared
61.1927 	EXP 	fixation: autoDraw = False
61.1927 	EXP 	grating: autoDraw = True
61.4921 	EXP 	grating: autoDraw = False
61.4944 	DATA 	Keypress: right
61.5092 	EXP 	fixation: autoDraw = False
61.5092 	EXP 	grating: autoDraw = False
61.5092 	EXP 	grating: ori = 4.0
61.5092 	EXP 	fixation: autoDraw = True
62.0097 	INFO 	Keyboard events cleared
62.0090 	EXP 	fixation: autoDraw = False
62.0090 	EXP 	grating: autoDraw = True
62.2942 	DATA 	Keypress: right
62.3082 	EXP 	grating: autoDraw = False
62.3082 	EXP 	fixation: autoDraw = False
62.3082 	EXP 	grating: autoDraw = False
62.3082 	EXP 	grating: ori = -3.5
